province,year,mean_day_of_year,median_day_of_year,std_day_of_year,min_day_of_year,max_day_of_year,station_count,record_count
福岡県,2011,92.0,92.0,,92,92,1,1
福岡県,2012,92.0,92.0,,92,92,1,1
福岡県,2013,81.0,81.0,,81,81,1,1
福岡県,2014,86.0,86.0,,86,86,1,1
福岡県,2015,88.0,88.0,,88,88,1,1
福岡県,2016,90.0,90.0,,90,90,1,1
福岡県,2017,95.0,95.0,,95,95,1,1
福岡県,2018,86.0,86.0,,86,86,1,1
福岡県,2019,88.0,88.0,,88,88,1,1
福岡県,2020,93.0,93.0,,93,93,1,1
福岡県,2021,81.0,81.0,,81,81,1,1
福岡県,2022,86.0,86.0,,86,86,1,1
福岡県,2023,85.0,85.0,,85,85,1,1
福岡県,2024,93.0,93.0,,93,93,1,1
福岡県,2025,87.0,87.0,,87,87,1,1
福島県,1953,106.67,103.0,8.14,101,116,3,3
福島県,1954,100.0,99.0,4.58,96,105,3,3
福島県,1955,102.0,101.0,2.65,100,105,3,3
福島県,1956,108.0,107.0,1.73,107,110,3,3
福島県,1957,109.0,109.0,2.0,107,111,3,3
福島県,1958,104.33,103.0,6.11,99,111,3,3
福島県,1959,99.67,98.0,4.73,96,105,3,3
福島県,1960,106.67,105.0,2.89,105,110,3,3
福島県,1961,106.0,104.0,3.46,104,110,3,3
福島県,1962,108.0,106.0,3.46,106,112,3,3
福島県,1963,105.67,106.0,2.52,103,108,3,3
福島県,1964,105.0,104.0,1.73,104,107,3,3
福島県,1965,115.33,114.0,4.16,112,120,3,3
福島県,1966,105.0,104.0,4.58,101,110,3,3
福島県,1967,104.33,104.0,5.51,99,110,3,3
福島県,1968,105.67,103.0,5.51,102,112,3,3
福島県,1969,107.67,106.0,4.73,104,113,3,3
福島県,1970,113.33,111.0,4.04,111,118,3,3
福島県,1971,106.33,105.0,3.21,104,110,3,3
福島県,1972,104.67,102.0,4.62,102,110,3,3
福島県,1973,104.67,104.0,3.06,102,108,3,3
福島県,1974,112.33,112.0,3.51,109,116,3,3
福島県,1975,106.67,105.0,2.89,105,110,3,3
福島県,1976,108.0,107.0,4.58,104,113,3,3
福島県,1977,106.0,105.0,2.65,104,109,3,3
福島県,1978,113.67,112.0,3.79,111,118,3,3
福島県,1979,102.67,101.0,4.73,99,108,3,3
福島県,1980,111.67,111.0,5.03,107,117,3,3
福島県,1981,107.33,106.0,3.21,105,111,3,3
福島県,1982,104.33,103.0,4.16,101,109,3,3
福島県,1983,106.0,106.0,2.0,104,108,3,3
福島県,1984,120.67,120.0,2.08,119,123,3,3
福島県,1985,109.0,109.0,2.0,107,111,3,3
福島県,1986,112.67,112.0,2.08,111,115,3,3
福島県,1987,102.0,100.0,3.46,100,106,3,3
福島県,1988,111.33,111.0,4.51,107,116,3,3
福島県,1989,98.33,96.0,4.93,95,104,3,3
福島県,1990,96.67,97.0,3.51,93,100,3,3
福島県,1991,104.33,105.0,2.08,102,106,3,3
福島県,1992,102.33,101.0,4.16,99,107,3,3
福島県,1993,108.0,106.0,3.46,106,112,3,3
福島県,1994,104.33,103.0,3.21,102,108,3,3
福島県,1995,106.33,105.0,5.13,102,112,3,3
福島県,1996,112.33,114.0,5.69,106,117,3,3
福島県,1997,100.67,100.0,3.06,98,104,3,3
福島県,1998,100.5,100.5,0.71,100,101,2,2
福島県,1999,100.0,100.0,1.41,99,101,2,2
福島県,2000,105.5,105.5,3.54,103,108,2,2
福島県,2001,99.5,99.5,0.71,99,100,2,2
福島県,2002,91.5,91.5,0.71,91,92,2,2
福島県,2003,102.5,102.5,0.71,102,103,2,2
福島県,2004,99.0,99.0,0.0,99,99,2,2
福島県,2005,106.0,106.0,0.0,106,106,2,2
福島県,2006,103.0,103.0,2.83,101,105,2,2
福島県,2007,97.0,97.0,2.83,95,99,2,2
福島県,2008,99.0,99.0,4.24,96,102,2,2
福島県,2009,99.0,99.0,,99,99,1,1
福島県,2010,103.0,103.0,,103,103,1,1
福島県,2011,105.0,105.0,,105,105,1,1
福島県,2012,111.0,111.0,,111,111,1,1
福島県,2013,98.0,98.0,,98,98,1,1
福島県,2014,101.0,101.0,,101,101,1,1
福島県,2015,96.0,96.0,,96,96,1,1
福島県,2016,94.0,94.0,,94,94,1,1
福島県,2017,102.0,102.0,,102,102,1,1
福島県,2018,92.0,92.0,,92,92,1,1
福島県,2019,98.0,98.0,,98,98,1,1
福島県,2020,92.0,92.0,,92,92,1,1
福島県,2021,88.0,88.0,,88,88,1,1
福島県,2022,98.0,98.0,,98,98,1,1
福島県,2023,87.0,87.0,,87,87,1,1
福島県,2024,98.0,98.0,,98,98,1,1
福島県,2025,98.0,98.0,,98,98,1,1
秋田県,1953,119.0,119.0,,119,119,1,1
秋田県,1954,112.0,112.0,,112,112,1,1
秋田県,1955,113.0,113.0,,113,113,1,1
秋田県,1956,117.0,117.0,,117,117,1,1
秋田県,1957,119.0,119.0,,119,119,1,1
秋田県,1958,119.0,119.0,,119,119,1,1
秋田県,1959,107.0,107.0,,107,107,1,1
秋田県,1960,118.0,118.0,,118,118,1,1
秋田県,1961,113.0,113.0,,113,113,1,1
秋田県,1962,114.0,114.0,,114,114,1,1
秋田県,1963,111.0,111.0,,111,111,1,1
秋田県,1964,114.0,114.0,,114,114,1,1
秋田県,1965,128.0,128.0,,128,128,1,1
秋田県,1966,115.0,115.0,,115,115,1,1
秋田県,1967,118.0,118.0,,118,118,1,1
秋田県,1968,115.0,115.0,,115,115,1,1
秋田県,1969,119.0,119.0,,119,119,1,1
秋田県,1970,121.0,121.0,,121,121,1,1
秋田県,1971,119.0,119.0,,119,119,1,1
秋田県,1972,113.0,113.0,,113,113,1,1
秋田県,1973,113.0,113.0,,113,113,1,1
秋田県,1974,120.0,120.0,,120,120,1,1
秋田県,1975,115.0,115.0,,115,115,1,1
秋田県,1976,119.0,119.0,,119,119,1,1
秋田県,1977,117.0,117.0,,117,117,1,1
秋田県,1978,120.0,120.0,,120,120,1,1
秋田県,1979,115.0,115.0,,115,115,1,1
秋田県,1980,119.0,119.0,,119,119,1,1
秋田県,1981,117.0,117.0,,117,117,1,1
秋田県,1982,114.0,114.0,,114,114,1,1
秋田県,1983,109.0,109.0,,109,109,1,1
秋田県,1984,126.0,126.0,,126,126,1,1
秋田県,1985,113.0,113.0,,113,113,1,1
秋田県,1986,115.0,115.0,,115,115,1,1
秋田県,1987,111.0,111.0,,111,111,1,1
秋田県,1988,119.0,119.0,,119,119,1,1
秋田県,1989,105.0,105.0,,105,105,1,1
秋田県,1990,103.0,103.0,,103,103,1,1
秋田県,1991,112.0,112.0,,112,112,1,1
秋田県,1992,113.0,113.0,,113,113,1,1
秋田県,1993,114.0,114.0,,114,114,1,1
秋田県,1994,114.0,114.0,,114,114,1,1
秋田県,1995,113.0,113.0,,113,113,1,1
秋田県,1996,121.0,121.0,,121,121,1,1
秋田県,1997,112.0,112.0,,112,112,1,1
秋田県,1998,106.0,106.0,,106,106,1,1
秋田県,1999,110.0,110.0,,110,110,1,1
秋田県,2000,116.0,116.0,,116,116,1,1
秋田県,2001,108.0,108.0,,108,108,1,1
秋田県,2002,102.0,102.0,,102,102,1,1
秋田県,2003,111.0,111.0,,111,111,1,1
秋田県,2004,107.0,107.0,,107,107,1,1
秋田県,2005,118.0,118.0,,118,118,1,1
秋田県,2006,116.0,116.0,,116,116,1,1
秋田県,2007,113.0,113.0,,113,113,1,1
秋田県,2008,106.0,106.0,,106,106,1,1
秋田県,2009,109.0,109.0,,109,109,1,1
秋田県,2010,118.0,118.0,,118,118,1,1
秋田県,2011,117.0,117.0,,117,117,1,1
秋田県,2012,117.0,117.0,,117,117,1,1
秋田県,2013,119.0,119.0,,119,119,1,1
秋田県,2014,114.0,114.0,,114,114,1,1
秋田県,2015,105.0,105.0,,105,105,1,1
秋田県,2016,110.0,110.0,,110,110,1,1
秋田県,2017,109.0,109.0,,109,109,1,1
秋田県,2018,110.0,110.0,,110,110,1,1
秋田県,2019,110.0,110.0,,110,110,1,1
秋田県,2020,106.0,106.0,,106,106,1,1
秋田県,2021,97.0,97.0,,97,97,1,1
秋田県,2022,106.0,106.0,,106,106,1,1
秋田県,2023,97.0,97.0,,97,97,1,1
秋田県,2024,105.0,105.0,,105,105,1,1
秋田県,2025,108.0,108.0,,108,108,1,1
群馬県,1953,107.0,107.0,,107,107,1,1
群馬県,1954,94.0,94.0,,94,94,1,1
群馬県,1955,100.0,100.0,,100,100,1,1
群馬県,1956,104.0,104.0,,104,104,1,1
群馬県,1957,104.0,104.0,,104,104,1,1
群馬県,1958,99.0,99.0,,99,99,1,1
群馬県,1959,94.0,94.0,,94,94,1,1
群馬県,1960,99.0,99.0,,99,99,1,1
群馬県,1961,98.0,98.0,,98,98,1,1
群馬県,1962,100.0,100.0,,100,100,1,1
群馬県,1963,99.0,99.0,,99,99,1,1
群馬県,1964,101.0,101.0,,101,101,1,1
群馬県,1965,106.0,106.0,,106,106,1,1
群馬県,1966,97.0,97.0,,97,97,1,1
群馬県,1967,95.0,95.0,,95,95,1,1
群馬県,1968,100.0,100.0,,100,100,1,1
群馬県,1969,103.0,103.0,,103,103,1,1
群馬県,1970,107.0,107.0,,107,107,1,1
群馬県,1971,100.0,100.0,,100,100,1,1
群馬県,1972,97.0,97.0,,97,97,1,1
群馬県,1973,99.0,99.0,,99,99,1,1
群馬県,1974,101.0,101.0,,101,101,1,1
群馬県,1975,100.0,100.0,,100,100,1,1
群馬県,1976,98.0,98.0,,98,98,1,1
群馬県,1977,94.0,94.0,,94,94,1,1
群馬県,1978,105.0,105.0,,105,105,1,1
群馬県,1979,96.0,96.0,,96,96,1,1
群馬県,1980,103.0,103.0,,103,103,1,1
群馬県,1981,98.0,98.0,,98,98,1,1
群馬県,1982,93.0,93.0,,93,93,1,1
群馬県,1983,100.0,100.0,,100,100,1,1
群馬県,1984,112.0,112.0,,112,112,1,1
群馬県,1985,101.0,101.0,,101,101,1,1
群馬県,1986,104.0,104.0,,104,104,1,1
群馬県,1987,94.0,94.0,,94,94,1,1
群馬県,1988,104.0,104.0,,104,104,1,1
群馬県,1989,92.0,92.0,,92,92,1,1
群馬県,1990,89.0,89.0,,89,89,1,1
群馬県,1991,98.0,98.0,,98,98,1,1
群馬県,1992,93.0,93.0,,93,93,1,1
群馬県,1993,94.0,94.0,,94,94,1,1
群馬県,1994,97.0,97.0,,97,97,1,1
群馬県,1995,101.0,101.0,,101,101,1,1
群馬県,1996,101.0,101.0,,101,101,1,1
群馬県,1997,93.0,93.0,,93,93,1,1
群馬県,1998,91.0,91.0,,91,91,1,1
群馬県,1999,94.0,94.0,,94,94,1,1
群馬県,2000,101.0,101.0,,101,101,1,1
群馬県,2001,94.0,94.0,,94,94,1,1
群馬県,2002,87.0,87.0,,87,87,1,1
群馬県,2003,98.0,98.0,,98,98,1,1
群馬県,2004,91.0,91.0,,91,91,1,1
群馬県,2005,98.0,98.0,,98,98,1,1
群馬県,2006,94.0,94.0,,94,94,1,1
群馬県,2007,97.0,97.0,,97,97,1,1
群馬県,2008,91.0,91.0,,91,91,1,1
群馬県,2009,98.0,98.0,,98,98,1,1
群馬県,2010,96.0,96.0,,96,96,1,1
群馬県,2011,101.0,101.0,,101,101,1,1
群馬県,2012,103.0,103.0,,103,103,1,1
群馬県,2013,91.0,91.0,,91,91,1,1
群馬県,2014,93.0,93.0,,93,93,1,1
群馬県,2015,91.0,91.0,,91,91,1,1
群馬県,2016,92.0,92.0,,92,92,1,1
群馬県,2017,97.0,97.0,,97,97,1,1
群馬県,2018,87.0,87.0,,87,87,1,1
群馬県,2019,97.0,97.0,,97,97,1,1
群馬県,2020,86.0,86.0,,86,86,1,1
群馬県,2021,87.0,87.0,,87,87,1,1
群馬県,2022,91.0,91.0,,91,91,1,1
群馬県,2023,83.0,83.0,,83,83,1,1
群馬県,2024,99.0,99.0,,99,99,1,1
群馬県,2025,97.0,97.0,,97,97,1,1
茨城県,1953,99.0,99.0,,99,99,1,1
茨城県,1954,96.0,96.0,,96,96,1,1
茨城県,1955,98.0,98.0,,98,98,1,1
茨城県,1956,106.0,106.0,,106,106,1,1
茨城県,1957,104.0,104.0,,104,104,1,1
茨城県,1958,101.0,101.0,,101,101,1,1
茨城県,1959,96.0,96.0,,96,96,1,1
茨城県,1960,101.0,101.0,,101,101,1,1
茨城県,1961,100.0,100.0,,100,100,1,1
茨城県,1962,105.0,105.0,,105,105,1,1
茨城県,1963,103.0,103.0,,103,103,1,1
茨城県,1964,102.0,102.0,,102,102,1,1
茨城県,1965,106.0,106.0,,106,106,1,1
茨城県,1966,98.0,98.0,,98,98,1,1
茨城県,1967,97.0,97.0,,97,97,1,1
茨城県,1968,101.0,101.0,,101,101,1,1
茨城県,1969,103.0,103.0,,103,103,1,1
茨城県,1970,111.0,111.0,,111,111,1,1
茨城県,1971,102.0,102.0,,102,102,1,1
茨城県,1972,96.0,96.0,,96,96,1,1
茨城県,1973,98.0,98.0,,98,98,1,1
茨城県,1974,104.0,104.0,,104,104,1,1
茨城県,1975,102.0,102.0,,102,102,1,1
茨城県,1976,104.0,104.0,,104,104,1,1
茨城県,1977,101.0,101.0,,101,101,1,1
茨城県,1978,106.0,106.0,,106,106,1,1
茨城県,1979,96.0,96.0,,96,96,1,1
茨城県,1980,105.0,105.0,,105,105,1,1
茨城県,1981,105.0,105.0,,105,105,1,1
茨城県,1982,98.0,98.0,,98,98,1,1
茨城県,1983,104.0,104.0,,104,104,1,1
茨城県,1984,118.0,118.0,,118,118,1,1
茨城県,1985,104.0,104.0,,104,104,1,1
茨城県,1986,106.0,106.0,,106,106,1,1
茨城県,1987,95.0,95.0,,95,95,1,1
茨城県,1988,105.0,105.0,,105,105,1,1
茨城県,1989,93.0,93.0,,93,93,1,1
茨城県,1990,89.0,89.0,,89,89,1,1
茨城県,1991,100.0,100.0,,100,100,1,1
茨城県,1992,97.0,97.0,,97,97,1,1
茨城県,1993,104.0,104.0,,104,104,1,1
茨城県,1994,97.0,97.0,,97,97,1,1
茨城県,1995,101.0,101.0,,101,101,1,1
茨城県,1996,105.0,105.0,,105,105,1,1
茨城県,1997,92.0,92.0,,92,92,1,1
茨城県,1998,98.0,98.0,,98,98,1,1
茨城県,1999,95.0,95.0,,95,95,1,1
茨城県,2000,99.0,99.0,,99,99,1,1
茨城県,2001,95.0,95.0,,95,95,1,1
茨城県,2002,87.0,87.0,,87,87,1,1
茨城県,2003,99.0,99.0,,99,99,1,1
茨城県,2004,91.0,91.0,,91,91,1,1
茨城県,2005,99.0,99.0,,99,99,1,1
茨城県,2006,94.0,94.0,,94,94,1,1
茨城県,2007,92.0,92.0,,92,92,1,1
茨城県,2008,94.0,94.0,,94,94,1,1
茨城県,2009,98.0,98.0,,98,98,1,1
茨城県,2010,97.0,97.0,,97,97,1,1
茨城県,2011,102.0,102.0,,102,102,1,1
茨城県,2012,103.0,103.0,,103,103,1,1
茨城県,2013,91.0,91.0,,91,91,1,1
茨城県,2014,92.0,92.0,,92,92,1,1
茨城県,2015,94.0,94.0,,94,94,1,1
茨城県,2016,97.0,97.0,,97,97,1,1
茨城県,2017,100.0,100.0,,100,100,1,1
茨城県,2018,87.0,87.0,,87,87,1,1
茨城県,2019,95.0,95.0,,95,95,1,1
茨城県,2020,91.0,91.0,,91,91,1,1
茨城県,2021,89.0,89.0,,89,89,1,1
茨城県,2022,96.0,96.0,,96,96,1,1
茨城県,2023,86.0,86.0,,86,86,1,1
茨城県,2024,99.0,99.0,,99,99,1,1
茨城県,2025,98.0,98.0,,98,98,1,1
長崎県,1953,96.67,96.0,1.15,96,98,3,3
長崎県,1954,94.67,95.0,2.52,92,97,3,3
長崎県,1955,92.0,92.0,2.0,90,94,3,3
長崎県,1956,99.0,98.0,3.61,96,103,3,3
長崎県,1957,99.0,100.0,1.73,97,100,3,3
長崎県,1958,92.0,93.0,4.58,87,96,3,3
長崎県,1959,89.67,89.0,1.15,89,91,3,3
長崎県,1960,94.0,94.0,1.0,93,95,3,3
長崎県,1961,92.67,93.0,0.58,92,93,3,3
長崎県,1962,99.33,99.0,2.52,97,102,3,3
長崎県,1963,95.67,96.0,0.58,95,96,3,3
長崎県,1964,94.67,95.0,0.58,94,95,3,3
長崎県,1965,101.0,101.0,3.0,98,104,3,3
長崎県,1966,91.33,91.0,2.52,89,94,3,3
長崎県,1967,93.33,93.0,0.58,93,94,3,3
長崎県,1968,95.0,95.0,1.0,94,96,3,3
長崎県,1969,98.33,98.0,0.58,98,99,3,3
長崎県,1970,98.33,98.0,0.58,98,99,3,3
長崎県,1971,93.0,93.0,1.0,92,94,3,3
長崎県,1972,97.67,97.0,2.08,96,100,3,3
長崎県,1973,91.67,91.0,2.08,90,94,3,3
長崎県,1974,92.0,90.0,3.46,90,96,3,3
長崎県,1975,95.0,95.0,0.0,95,95,3,3
長崎県,1976,95.0,94.0,2.65,93,98,3,3
長崎県,1977,85.33,85.0,2.52,83,88,3,3
長崎県,1978,98.0,98.0,1.0,97,99,3,3
長崎県,1979,96.33,97.0,2.08,94,98,3,3
長崎県,1980,94.67,95.0,0.58,94,95,3,3
長崎県,1981,91.33,92.0,1.15,90,92,3,3
長崎県,1982,87.0,87.0,1.0,86,88,3,3
長崎県,1983,96.67,97.0,0.58,96,97,3,3
長崎県,1984,100.0,101.0,2.65,97,102,3,3
長崎県,1985,95.0,95.0,1.0,94,96,3,3
長崎県,1986,95.0,96.0,1.73,93,96,3,3
長崎県,1987,93.0,94.0,4.58,88,97,3,3
長崎県,1988,102.33,103.0,2.08,100,104,3,3
長崎県,1989,90.0,90.0,0.0,90,90,3,3
長崎県,1990,86.67,87.0,1.53,85,88,3,3
長崎県,1991,96.0,95.0,2.65,94,99,3,3
長崎県,1992,91.67,92.0,0.58,91,92,3,3
長崎県,1993,97.67,97.0,2.08,96,100,3,3
長崎県,1994,96.0,96.0,1.0,95,97,3,3
長崎県,1995,100.67,100.0,1.15,100,102,3,3
長崎県,1996,97.0,97.0,1.0,96,98,3,3
長崎県,1997,88.0,88.0,1.0,87,89,3,3
長崎県,1998,93.0,93.0,1.0,92,94,3,3
長崎県,1999,94.0,94.0,1.0,93,95,3,3
長崎県,2000,93.33,93.0,0.58,93,94,3,3
長崎県,2001,92.33,93.0,1.15,91,93,3,3
長崎県,2002,86.67,88.0,3.21,83,89,3,3
長崎県,2003,89.0,89.0,1.0,88,90,3,3
長崎県,2004,93.33,93.0,0.58,93,94,3,3
長崎県,2005,97.67,98.0,0.58,97,98,3,3
長崎県,2006,91.67,93.0,2.31,89,93,3,3
長崎県,2007,94.0,92.0,4.36,91,99,3,3
長崎県,2008,96.33,97.0,3.06,93,99,3,3
長崎県,2009,87.33,86.0,3.21,85,91,3,3
長崎県,2010,90.0,90.0,,90,90,1,1
長崎県,2011,97.0,97.0,,97,97,1,1
長崎県,2012,93.0,93.0,,93,93,1,1
長崎県,2013,82.0,82.0,,82,82,1,1
長崎県,2014,86.0,86.0,,86,86,1,1
長崎県,2015,90.0,90.0,,90,90,1,1
長崎県,2016,90.0,90.0,,90,90,1,1
長崎県,2017,97.0,97.0,,97,97,1,1
長崎県,2018,85.0,85.0,,85,85,1,1
長崎県,2019,93.0,93.0,,93,93,1,1
長崎県,2020,94.0,94.0,,94,94,1,1
長崎県,2021,82.0,82.0,,82,82,1,1
長崎県,2022,88.0,88.0,,88,88,1,1
長崎県,2023,89.0,89.0,,89,89,1,1
長崎県,2024,93.0,93.0,,93,93,1,1
長崎県,2025,90.0,90.0,,90,90,1,1
長野県,1953,108.67,110.0,6.11,102,114,3,3
長野県,1954,100.33,101.0,3.06,97,103,3,3
長野県,1955,101.0,103.0,3.46,97,103,3,3
長野県,1956,106.0,107.0,2.65,103,108,3,3
長野県,1957,109.67,110.0,3.51,106,113,3,3
長野県,1958,105.0,109.0,6.93,97,109,3,3
長野県,1959,97.33,100.0,6.43,90,102,3,3
長野県,1960,105.0,105.0,9.0,96,114,3,3
長野県,1961,106.33,106.0,3.51,103,110,3,3
長野県,1962,110.67,112.0,3.21,107,113,3,3
長野県,1963,106.33,107.0,2.08,104,108,3,3
長野県,1964,106.0,107.0,2.65,103,108,3,3
長野県,1965,118.0,121.0,7.0,110,123,3,3
長野県,1966,108.0,109.0,5.57,102,113,3,3
長野県,1967,108.33,110.0,3.79,104,111,3,3
長野県,1968,109.0,111.0,4.36,104,112,3,3
長野県,1969,108.67,111.0,4.93,103,112,3,3
長野県,1970,115.67,117.0,3.21,112,118,3,3
長野県,1971,107.0,109.0,4.36,102,110,3,3
長野県,1972,107.0,108.0,1.73,105,108,3,3
長野県,1973,106.0,108.0,5.29,100,110,3,3
長野県,1974,110.33,112.0,3.79,106,113,3,3
長野県,1975,107.33,109.0,2.89,104,109,3,3
長野県,1976,107.67,108.0,3.51,104,111,3,3
長野県,1977,104.67,105.0,3.51,101,108,3,3
長野県,1978,112.33,113.0,3.06,109,115,3,3
長野県,1979,100.33,100.0,0.58,100,101,3,3
長野県,1980,109.0,110.0,4.58,104,113,3,3
長野県,1981,108.67,110.0,5.13,103,113,3,3
長野県,1982,104.33,106.0,5.69,98,109,3,3
長野県,1983,104.67,106.0,2.31,102,106,3,3
長野県,1984,116.67,118.0,4.16,112,120,3,3
長野県,1985,105.33,108.0,5.51,99,109,3,3
長野県,1986,110.33,112.0,3.79,106,113,3,3
長野県,1987,101.67,101.0,4.04,98,106,3,3
長野県,1988,112.33,113.0,4.04,108,116,3,3
長野県,1989,98.67,100.0,3.21,95,101,3,3
長野県,1990,98.0,101.0,5.2,92,101,3,3
長野県,1991,102.67,104.0,3.21,99,105,3,3
長野県,1992,101.0,102.0,6.56,94,107,3,3
長野県,1993,107.0,108.0,4.58,102,111,3,3
長野県,1994,105.67,108.0,4.04,101,108,3,3
長野県,1995,107.0,108.0,4.58,102,111,3,3
長野県,1996,114.0,116.0,4.36,109,117,3,3
長野県,1997,100.67,100.0,5.03,96,106,3,3
長野県,1998,99.67,101.0,4.16,95,103,3,3
長野県,1999,101.0,102.0,2.65,98,103,3,3
長野県,2000,109.67,109.0,3.06,107,113,3,3
長野県,2001,100.67,100.0,2.08,99,103,3,3
長野県,2002,93.0,93.0,2.0,91,95,3,3
長野県,2003,105.67,107.0,3.21,102,108,3,3
長野県,2004,99.33,98.0,2.31,98,102,3,3
長野県,2005,105.0,104.0,3.61,102,109,3,3
長野県,2006,106.67,108.0,4.16,102,110,3,3
長野県,2007,101.5,101.5,3.54,99,104,2,2
長野県,2008,107.0,107.0,,107,107,1,1
長野県,2009,102.0,102.0,,102,102,1,1
長野県,2010,103.0,103.0,,103,103,1,1
長野県,2011,111.0,111.0,,111,111,1,1
長野県,2012,112.0,112.0,,112,112,1,1
長野県,2013,105.0,105.0,,105,105,1,1
長野県,2014,107.0,107.0,,107,107,1,1
長野県,2015,100.0,100.0,,100,100,1,1
長野県,2016,99.0,99.0,,99,99,1,1
長野県,2017,107.0,107.0,,107,107,1,1
長野県,2018,96.0,96.0,,96,96,1,1
長野県,2019,108.0,108.0,,108,108,1,1
長野県,2020,104.0,104.0,,104,104,1,1
長野県,2021,91.0,91.0,,91,91,1,1
長野県,2022,101.0,101.0,,101,101,1,1
長野県,2023,93.0,93.0,,93,93,1,1
長野県,2024,104.0,104.0,,104,104,1,1
長野県,2025,103.0,103.0,,103,103,1,1
青森県,1953,122.0,122.0,,122,122,1,1
青森県,1954,116.0,116.0,,116,116,1,1
青森県,1955,116.0,116.0,,116,116,1,1
青森県,1956,120.5,120.5,3.54,118,123,2,2
青森県,1957,124.0,124.0,4.24,121,127,2,2
青森県,1958,120.5,120.5,4.95,117,124,2,2
青森県,1959,114.0,114.0,1.41,113,115,2,2
青森県,1960,122.0,122.0,0.0,122,122,2,2
青森県,1961,117.5,117.5,2.12,116,119,2,2
青森県,1962,118.0,118.0,2.83,116,120,2,2
青森県,1963,115.5,115.5,0.71,115,116,2,2
青森県,1964,123.0,123.0,0.0,123,123,2,2
青森県,1965,129.5,129.5,0.71,129,130,2,2
青森県,1966,122.5,122.5,3.54,120,125,2,2
青森県,1967,120.5,120.5,3.54,118,123,2,2
青森県,1968,122.0,122.0,2.83,120,124,2,2
青森県,1969,122.0,122.0,2.83,120,124,2,2
青森県,1970,127.0,127.0,0.0,127,127,2,2
青森県,1971,120.5,120.5,6.36,116,125,2,2
青森県,1972,119.5,119.5,0.71,119,120,2,2
青森県,1973,115.0,115.0,4.24,112,118,2,2
青森県,1974,124.0,124.0,4.24,121,127,2,2
青森県,1975,119.5,119.5,2.12,118,121,2,2
青森県,1976,122.0,122.0,4.24,119,125,2,2
青森県,1977,124.5,124.5,3.54,122,127,2,2
青森県,1978,122.5,122.5,2.12,121,124,2,2
青森県,1979,125.5,125.5,0.71,125,126,2,2
青森県,1980,128.0,128.0,2.83,126,130,2,2
青森県,1981,119.5,119.5,2.12,118,121,2,2
青森県,1982,122.5,122.5,2.12,121,124,2,2
青森県,1983,114.0,114.0,1.41,113,115,2,2
青森県,1984,141.5,141.5,3.54,139,144,2,2
青森県,1985,122.0,122.0,1.41,121,123,2,2
青森県,1986,123.5,123.5,2.12,122,125,2,2
青森県,1987,119.5,119.5,2.12,118,121,2,2
青森県,1988,121.5,121.5,0.71,121,122,2,2
青森県,1989,109.5,109.5,0.71,109,110,2,2
青森県,1990,110.5,110.5,3.54,108,113,2,2
青森県,1991,117.5,117.5,3.54,115,120,2,2
青森県,1992,116.5,116.5,2.12,115,118,2,2
青森県,1993,117.0,117.0,1.41,116,118,2,2
青森県,1994,116.5,116.5,0.71,116,117,2,2
青森県,1995,116.5,116.5,2.12,115,118,2,2
青森県,1996,123.5,123.5,0.71,123,124,2,2
青森県,1997,117.5,117.5,0.71,117,118,2,2
青森県,1998,109.5,109.5,0.71,109,110,2,2
青森県,1999,118.5,118.5,2.12,117,120,2,2
青森県,2000,122.5,122.5,2.12,121,124,2,2
青森県,2001,115.5,115.5,2.12,114,117,2,2
青森県,2002,106.0,106.0,0.0,106,106,2,2
青森県,2003,116.0,116.0,1.41,115,117,2,2
青森県,2004,111.0,111.0,1.41,110,112,2,2
青森県,2005,120.5,120.5,2.12,119,122,2,2
青森県,2006,124.0,124.0,2.83,122,126,2,2
青森県,2007,119.0,119.0,0.0,119,119,2,2
青森県,2008,112.0,112.0,,112,112,1,1
青森県,2009,112.0,112.0,,112,112,1,1
青森県,2010,122.0,122.0,,122,122,1,1
青森県,2011,118.0,118.0,,118,118,1,1
青森県,2012,122.0,122.0,,122,122,1,1
青森県,2013,126.0,126.0,,126,126,1,1
青森県,2014,115.0,115.0,,115,115,1,1
青森県,2015,109.0,109.0,,109,109,1,1
青森県,2016,112.0,112.0,,112,112,1,1
青森県,2017,111.0,111.0,,111,111,1,1
青森県,2018,112.0,112.0,,112,112,1,1
青森県,2019,112.0,112.0,,112,112,1,1
青森県,2020,112.0,112.0,,112,112,1,1
青森県,2021,107.0,107.0,,107,107,1,1
青森県,2022,110.0,110.0,,110,110,1,1
青森県,2023,101.0,101.0,,101,101,1,1
青森県,2024,109.0,109.0,,109,109,1,1
青森県,2025,112.0,112.0,,112,112,1,1
静岡県,1953,95.0,95.0,4.24,92,98,2,2
静岡県,1954,93.0,93.0,0.0,93,93,2,2
静岡県,1955,90.5,90.5,2.12,89,92,2,2
静岡県,1956,94.0,94.0,,94,94,1,1
静岡県,1957,98.5,98.5,2.12,97,100,2,2
静岡県,1958,95.0,95.0,1.41,94,96,2,2
静岡県,1959,90.5,90.5,3.54,88,93,2,2
静岡県,1960,96.5,96.5,0.71,96,97,2,2
静岡県,1961,97.0,97.0,1.41,96,98,2,2
静岡県,1962,100.5,100.5,2.12,99,102,2,2
静岡県,1963,96.5,96.5,0.71,96,97,2,2
静岡県,1964,96.5,96.5,0.71,96,97,2,2
